iter	Passed	Remaining
0	2491	246701
1	2854	139877
2	3779	122197
3	45847	1100349
4	73621	1398812
5	99417	1557539
6	122334	1625294
7	144812	1665340
8	166869	1687231
9	189156	1702412
10	190569	1541876
11	212878	1561108
12	235873	1578540
13	267843	1645327
14	296341	1679270
15	323875	1700345
16	351854	1717878
17	377069	1717761
18	404282	1723519
19	429885	1719541
20	455869	1714936
21	481661	1707710
22	506503	1695686
23	531354	1682622
24	557207	1671621
25	582340	1657431
26	607986	1643815
27	634651	1631962
28	660504	1617096
29	686934	1602846
30	714266	1589820
31	739888	1572262
32	766343	1555909
33	792101	1537608
34	819293	1521544
35	846409	1504727
36	872390	1485421
37	899794	1468085
38	927729	1451064
39	954715	1432073
40	982179	1413380
41	1009988	1394746
42	1039033	1377324
43	1066474	1357331
44	1094449	1337660
45	1123262	1318612
46	1152153	1299236
47	1180827	1279229
48	1209021	1258368
49	1237759	1237759
50	1266830	1217151
51	1297904	1198066
52	1339034	1187446
53	1371732	1168512
54	1404243	1148926
55	1438495	1130246
56	1471685	1110218
57	1504550	1089502
58	1539451	1069788
59	1572329	1048219
60	1605811	1026666
61	1641215	1005906
62	1675022	983743
63	1716845	965725
64	1750807	942742
65	1784849	919467
66	1819141	895994
67	1855008	872945
68	1895906	851784
69	1931125	827625
70	1970686	804928
71	2016362	784140
72	2054104	759737
73	2091364	734803
74	2128181	709393
75	2170410	685392
76	2211599	660607
77	2251557	635054
78	2297936	610843
79	2334783	583695
80	2369604	555833
81	2404493	527815
82	2438704	499493
83	2474178	471272
84	2508371	442653
85	2543138	413999
86	2578879	385349
87	2613893	356440
88	2649930	327519
89	2685420	298380
90	2720412	269051
91	2755594	239616
92	2790547	210041
93	2825903	180376
94	2861916	150627
95	2897814	120742
96	2934152	90746
97	2970665	60625
98	3004860	30352
99	3039290	0
